year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,20,South kinviakingrad Tribe,301512,0.998000,0.596700,0.678000,0.007300,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998068,0.998034,0.000000,-0.001932,-0.000034,-0.001966,0.000000,0.000000,0.000000,0.004427,0.000000,-0.001932,-0.000034,0.000000,0.006737,1,control,0.001932,0.589385,0.598924,0.596704,0.596674,0.596674,0.596674,0.009540,-0.002220,-0.000030,0.000000,0.000000,0.007289,-0.000000,0.000000,0.001000,-0.000000,-0.003220,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006737,budget,0.002220
-5000,21,Great dusrania Tribe,155730,0.998500,0.584800,0.759600,0.006500,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998558,0.998525,0.000000,-0.001442,-0.000033,-0.001475,0.000000,0.000000,0.000000,0.004465,0.000000,-0.001442,-0.000033,0.000000,0.006609,1,control,0.001442,0.582361,0.586274,0.584871,0.584841,0.584841,0.584841,0.003913,-0.001404,-0.000029,0.000000,0.000000,0.002481,-0.000000,0.000000,0.001000,-0.000000,-0.002404,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006609,budget,0.001404
-5000,22,New solgarmar Tribe,299417,0.999200,0.619200,0.868800,0.003600,0,0,stable,0,0,0,1,1.000000,1.000000,0.999213,0.999182,0.000000,-0.000787,-0.000030,-0.000818,0.000000,0.000000,0.000000,0.004608,0.000000,-0.000787,-0.000030,0.000000,0.006390,1,control,0.000787,0.613974,0.619517,0.619205,0.619177,0.619177,0.619177,0.005543,-0.000312,-0.000027,0.000000,0.000000,0.005203,-0.000000,0.000000,0.001000,-0.000000,-0.001312,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006390,budget,0.000312
-5000,23,South kinquiquistan Tribe,303858,0.998300,0.650800,0.721900,0.006500,0,0,stable,0,0,0,1,1.000000,1.000000,0.998332,0.998299,0.000000,-0.001668,-0.000033,-0.001701,0.000000,0.000000,0.000000,0.004534,0.000000,-0.001668,-0.000033,0.000000,0.006603,1,control,0.001668,0.648678,0.652656,0.650876,0.650846,0.650846,0.650846,0.003979,-0.001781,-0.000029,0.000000,0.000000,0.002169,-0.000000,0.000000,0.001000,-0.000000,-0.002781,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006603,budget,0.001781
-5000,24,New quiromland Tribe,111033,0.998800,0.647000,0.804700,0.004800,0,0,stable,0,0,0,1,1.000000,1.000000,0.998828,0.998797,0.000000,-0.001172,-0.000031,-0.001203,0.000000,0.000000,0.000000,0.004540,0.000000,-0.001172,-0.000031,0.000000,0.006470,1,control,0.001172,0.643832,0.647989,0.647036,0.647008,0.647008,0.647008,0.004157,-0.000953,-0.000028,0.000000,0.000000,0.003176,-0.000000,0.000000,0.001000,-0.000000,-0.001953,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006470,budget,0.000953
-5000,25,Old nabeldusland Tribe,227131,0.998700,0.633300,0.781200,0.005400,0,0,stable,0,0,0,1,1.000000,1.000000,0.998687,0.998655,0.000000,-0.001313,-0.000032,-0.001345,0.000000,0.000000,0.000000,0.004554,0.000000,-0.001313,-0.000032,0.000000,0.006523,1,control,0.001313,0.630122,0.634559,0.633371,0.633343,0.633343,0.633343,0.004437,-0.001188,-0.000029,0.000000,0.000000,0.003221,-0.000000,0.000000,0.001000,-0.000000,-0.002188,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006523,budget,0.001188
-5000,26,Great tersolvialand Tribe,216106,0.998300,0.637900,0.728300,0.006600,0,0,stable,0,0,0,1,1.000000,1.000000,0.998370,0.998337,0.000000,-0.001630,-0.000033,-0.001663,0.000000,0.000000,0.000000,0.004472,0.000000,-0.001630,-0.000033,0.000000,0.006606,1,control,0.001630,0.635783,0.639644,0.637928,0.637898,0.637898,0.637898,0.003861,-0.001717,-0.000029,0.000000,0.000000,0.002115,-0.000000,0.000000,0.001000,-0.000000,-0.002717,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006606,budget,0.001717
-5000,27,South solmarna Tribe,247769,0.998900,0.608800,0.816600,0.004900,0,0,stable,0,0,0,1,1.000000,1.000000,0.998900,0.998868,0.000000,-0.001100,-0.000031,-0.001132,0.000000,0.000000,0.000000,0.004631,0.000000,-0.001100,-0.000031,0.000000,0.006488,1,control,0.001100,0.605095,0.609711,0.608877,0.608849,0.608849,0.608849,0.004616,-0.000834,-0.000028,0.000000,0.000000,0.003754,-0.000000,0.000000,0.001000,-0.000000,-0.001834,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006488,budget,0.000834
-5000,28,Garmaria Tribe,63681,0.999200,0.639500,0.867400,0.003500,0,0,stable,0,0,0,1,1.000000,1.000000,0.999204,0.999174,0.000000,-0.000796,-0.000030,-0.000826,0.000000,0.000000,0.000000,0.004694,0.000000,-0.000796,-0.000030,0.000000,0.006373,1,control,0.000796,0.634880,0.639857,0.639531,0.639503,0.639503,0.639503,0.004977,-0.000326,-0.000027,0.000000,0.000000,0.004623,-0.000000,0.000000,0.001000,-0.000000,-0.001326,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006373,budget,0.000326
-5000,29,Lorbelnagrad Tribe,191608,0.998900,0.572600,0.821900,0.005000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998931,0.998900,0.000000,-0.001069,-0.000032,-0.001100,0.000000,0.000000,0.000000,0.004587,0.000000,-0.001069,-0.000032,0.000000,0.006519,1,control,0.001069,0.567464,0.573363,0.572582,0.572553,0.572553,0.572553,0.005898,-0.000781,-0.000029,0.000000,0.000000,0.005089,-0.000000,0.000000,0.001000,-0.000000,-0.001781,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006519,budget,0.000781
-5000,30,North belviaromland Tribe,303005,0.998200,0.576900,0.711700,0.007500,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998270,0.998236,0.000000,-0.001730,-0.000033,-0.001764,0.000000,0.000000,0.000000,0.004484,0.000000,-0.001730,-0.000033,0.000000,0.006697,1,control,0.001730,0.575051,0.578841,0.576958,0.576928,0.576928,0.576928,0.003790,-0.001883,-0.000030,0.000000,0.000000,0.001877,-0.000000,0.000000,0.001000,-0.000000,-0.002883,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006697,budget,0.001883
-5000,31,Great quiternaia Tribe,611698,0.999200,0.567500,0.864800,0.004200,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999189,0.999158,0.000000,-0.000811,-0.000031,-0.000842,0.000000,0.000000,0.000000,0.010362,0.000000,-0.000811,-0.000031,0.000000,0.006453,0,control,0.000811,0.561993,0.567927,0.567575,0.567547,0.567547,0.567547,0.005934,-0.000352,-0.000028,0.000000,0.000000,0.005554,-0.000000,0.000000,0.001000,-0.000000,-0.001352,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006453,budget,0.000352
-5000,32,New kinquiviastan Tribe,61862,0.999300,0.565900,0.884800,0.004000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.999309,0.999278,0.000000,-0.000691,-0.000031,-0.000722,0.000000,0.000000,0.000000,0.004531,0.000000,-0.000691,-0.000031,0.000000,0.006421,1,control,0.000691,0.561508,0.566035,0.565883,0.565855,0.565855,0.565855,0.004526,-0.000152,-0.000028,0.000000,0.000000,0.004347,-0.000000,0.000000,0.001000,-0.000000,-0.001152,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006421,budget,0.000152
