year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-1800,959700748.000000,0.093768,167040.500000,181.000000,0.000000,0.000000,0.154930,0.000000,0.000000,262,0.959232,0.857041,0.000000,0.000000
-1750,970669417.000000,0.096415,181240.000000,181.000000,0.000000,0.000000,0.167832,0.000000,0.000000,268,0.965479,0.882068,0.000000,0.000000
-1700,997226110.000000,0.096385,181759.000000,181.000000,0.000000,0.000000,0.173611,0.000000,0.000000,279,0.966364,0.877059,0.000000,0.000000
-1650,1011331579.000000,0.098121,172336.000000,181.000000,0.000000,0.000000,0.187500,0.000000,0.000000,279,0.969339,0.909341,0.000000,0.000000
-1600,1004317209.000000,0.091587,157945.000000,181.000000,0.000000,0.000000,0.187500,0.000000,0.000000,279,0.958304,0.870437,0.000000,0.000000
-1550,1004826276.000000,0.092994,171109.500000,181.000000,0.000000,0.000000,0.180556,0.000000,0.000000,279,0.961850,0.864268,0.000000,0.000000
-1500,1008366638.000000,0.095263,175803.500000,181.000000,0.000000,0.000000,0.178082,0.000000,0.000000,288,0.960788,0.869594,0.000000,0.000000
-1450,1008296376.000000,0.096102,175156.000000,181.000000,0.000000,0.000000,0.187919,0.000000,0.000000,297,0.961759,0.879337,0.000000,0.000000
-1400,1005161359.000000,0.096274,178172.000000,181.000000,0.000000,0.000000,0.187919,0.000000,0.000000,300,0.964408,0.893628,0.000000,0.000000
-1350,1023661673.000000,0.099729,189286.000000,181.000000,0.000000,0.000000,0.193333,0.000000,0.000000,305,0.975157,0.920417,0.000000,0.000000
-1300,1036809438.000000,0.100809,186054.000000,181.000000,0.000000,0.000000,0.185430,0.000000,0.000000,306,0.968180,0.895799,0.000000,0.000000
-1250,1043492557.000000,0.101093,185960.000000,181.000000,0.000000,0.000000,0.189542,0.000000,0.000000,315,0.966381,0.885487,0.000000,0.000000
-1200,1062739418.000000,0.103861,222184.000000,183.000000,0.000000,0.000000,0.189542,0.000000,0.000000,335,0.967102,0.890222,0.000000,0.000000
-1150,1061403082.000000,0.103551,217043.500000,184.500000,0.000000,0.000000,0.194805,0.000000,0.000000,341,0.958814,0.840780,0.000000,0.000000
-1100,1070721783.000000,0.102663,214791.500000,184.500000,0.000000,0.000000,0.194805,0.000000,0.000000,341,0.968137,0.882508,0.000000,0.000000
-1050,1087130615.000000,0.106425,223581.000000,183.000000,0.000000,0.000000,0.200000,0.000000,0.000000,347,0.967085,0.902384,0.000000,0.000000
-1000,1103647440.000000,0.107889,242150.000000,182.000000,0.000000,0.000000,0.205128,0.000000,0.000000,351,0.967363,0.867803,0.000000,0.000000
-950,1106952286.000000,0.108395,247101.500000,181.000000,0.000000,0.000000,0.208861,0.000000,0.000000,358,0.965859,0.878049,0.000000,0.000000
-900,1118154476.000000,0.107326,251068.500000,181.000000,0.000000,0.000000,0.215190,0.000000,0.000000,367,0.969668,0.896242,0.000000,0.000000
-850,1141367409.000000,0.110864,254666.000000,181.000000,0.000000,0.000000,0.226415,0.000000,0.000000,368,0.970594,0.904651,0.000000,0.000000
-800,1155948593.000000,0.110453,257162.500000,181.000000,0.000000,0.000000,0.231250,0.000000,0.000000,380,0.969183,0.894187,0.000000,0.000000
-750,1157386133.000000,0.106604,260540.500000,181.000000,0.000000,0.000000,0.243750,0.000000,0.000000,380,0.963047,0.873799,0.000000,0.000000
-700,1180757545.000000,0.111764,252341.000000,181.000000,0.000000,0.000000,0.243750,0.000000,0.000000,380,0.973100,0.908220,0.000000,0.000000
-650,1206514375.000000,0.112699,243496.000000,181.000000,0.000000,0.000000,0.260870,0.000000,0.000000,382,0.965039,0.887058,0.000000,0.000000
-600,1219064459.000000,0.115298,255599.000000,181.000000,0.000000,0.000000,0.265432,0.000000,0.000000,386,0.970618,0.903880,0.000000,0.000000
-550,1225164763.000000,0.116677,256806.500000,181.000000,0.000000,0.000000,0.271605,0.000000,0.000000,386,0.970142,0.907677,0.000000,0.000000
-500,1232234286.000000,0.114010,244626.000000,181.000000,0.000000,0.000000,0.277778,0.000000,0.000000,386,0.966788,0.886803,0.000000,0.000000
-450,1236276385.000000,0.116191,240479.000000,181.000000,0.000000,0.000000,0.282209,0.000000,0.000000,393,0.970136,0.897918,0.000000,0.000000
-400,1257454139.000000,0.117459,248513.000000,181.000000,0.000000,0.000000,0.286585,0.000000,0.000000,397,0.971749,0.902578,0.000000,0.000000
-350,1270562661.000000,0.119556,249153.000000,181.000000,0.000000,0.000000,0.292683,0.000000,0.000000,397,0.973191,0.909844,0.000000,0.000000
-300,1271753273.000000,0.120400,246461.000000,181.000000,0.000000,0.000000,0.298780,0.000000,0.000000,397,0.975098,0.919260,0.000000,0.000000
-250,1277367999.000000,0.121510,254706.000000,181.000000,0.000000,0.000000,0.310976,0.000000,0.000000,404,0.959425,0.857077,0.000000,0.000000
-200,1299561146.000000,0.120675,262688.500000,181.000000,0.000000,0.000000,0.310976,0.000000,0.000000,404,0.969304,0.896234,0.000000,0.000000
-150,1309956354.000000,0.121401,267089.500000,181.000000,0.000000,0.000000,0.310976,0.000000,0.000000,404,0.969996,0.901474,0.000000,0.000000
-100,1304716420.000000,0.121302,258799.500000,181.000000,0.000000,0.000000,0.310976,0.000000,0.000000,404,0.968180,0.897431,0.000000,0.000000
-50,1314925245.000000,0.124563,265318.500000,181.000000,0.000000,0.000000,0.317073,0.000000,0.000000,404,0.968716,0.888169,0.000000,0.000000
0,1329780839.000000,0.123047,266421.500000,181.000000,0.000000,0.000000,0.317073,0.000000,0.000000,404,0.967791,0.882525,0.000000,0.000000
50,1353225262.000000,0.124790,267434.000000,181.000000,0.000000,0.000000,0.317073,0.000000,0.000000,404,0.970819,0.908556,0.000000,0.000000
100,1360599863.000000,0.124584,265833.500000,181.000000,0.000000,0.000000,0.317073,0.000000,0.000000,404,0.966124,0.873716,0.000000,0.000000
150,1364450446.000000,0.124472,273147.500000,181.000000,0.000000,0.000000,0.329268,0.000000,0.000000,404,0.964897,0.874820,0.000000,0.000000
200,1378121720.000000,0.124613,278864.000000,181.000000,0.000000,0.000000,0.329268,0.000000,0.000000,404,0.968201,0.893173,0.000000,0.000000
250,1389822318.000000,0.126149,283453.000000,181.000000,0.000000,0.000000,0.335366,0.000000,0.000000,404,0.966695,0.885409,0.000000,0.000000
300,1393958345.000000,0.127657,264391.500000,181.000000,0.000000,0.000000,0.335366,0.000000,0.000000,404,0.971654,0.893983,0.000000,0.000000
350,1411640212.000000,0.126646,278048.000000,181.000000,0.000000,0.000000,0.341463,0.000000,0.000000,404,0.968959,0.884273,0.000000,0.000000
400,1430022673.000000,0.127906,279743.000000,181.000000,0.000000,0.000000,0.347561,0.000000,0.000000,404,0.971354,0.907951,0.000000,0.000000
450,1451608988.000000,0.129714,286984.000000,181.000000,0.000000,0.000000,0.353659,0.000000,0.000000,404,0.968895,0.885289,0.000000,0.000000
500,1453324893.000000,0.128706,271739.500000,181.000000,0.000000,0.000000,0.353659,0.000000,0.000000,404,0.971873,0.903567,0.000000,0.000000
550,1461617045.000000,0.127972,271170.000000,181.000000,0.000000,0.000000,0.351515,0.000000,0.000000,409,0.971364,0.902979,0.000000,0.000000
600,1470946094.000000,0.132611,269568.000000,181.000000,0.000000,0.000000,0.357576,0.000000,0.000000,409,0.972548,0.905020,0.000000,0.000000
650,1472228584.000000,0.130494,268518.000000,181.000000,0.000000,0.000000,0.363636,0.000000,0.000000,409,0.971533,0.908097,0.000000,0.000000
700,1460918123.000000,0.130120,277051.000000,181.000000,0.000000,0.000000,0.385542,0.000000,0.000000,410,0.972062,0.910622,0.000000,0.000000
750,1495774911.000000,0.132120,263069.500000,181.000000,0.000000,0.000000,0.385542,0.000000,0.000000,412,0.968845,0.904424,0.000000,0.000000
800,1497554537.000000,0.132354,270706.000000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.972977,0.908383,0.000000,0.000000
850,1491572171.000000,0.132029,261783.000000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.971702,0.901799,0.000000,0.000000
900,1504825386.000000,0.133495,274155.000000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.967594,0.885068,0.000000,0.000000
950,1517304442.000000,0.131567,280428.500000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.968244,0.893590,0.000000,0.000000
1000,1523554809.000000,0.133190,263982.000000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.965552,0.881200,0.000000,0.000000
1050,1529976050.000000,0.126228,282520.500000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.960965,0.867358,0.000000,0.000000
1100,1531347494.000000,0.129113,275449.000000,181.000000,0.000000,0.000000,0.397590,0.000000,0.000000,412,0.972722,0.905422,0.000000,0.000000
1150,1547707885.000000,0.125966,276852.000000,181.000000,0.000000,0.000000,0.407186,0.000000,0.000000,415,0.963393,0.872109,0.000000,0.000000
1200,1551865815.000000,0.127286,286541.000000,181.000000,0.000000,0.000000,0.407186,0.000000,0.000000,415,0.968161,0.889512,0.000000,0.000000
1250,1550539226.000000,0.127955,291691.000000,181.000000,0.000000,0.000000,0.407186,0.000000,0.000000,415,0.968163,0.888440,0.000000,0.000000
1300,1560782831.000000,0.126818,291959.000000,181.000000,0.000000,0.000000,0.407186,0.000000,0.000000,415,0.971322,0.893271,0.000000,0.000000
1350,1567300422.000000,0.129743,289080.500000,181.000000,0.000000,0.000000,0.410714,0.000000,0.000000,416,0.964447,0.868167,0.000000,0.000000
1400,1588825513.000000,0.132276,279842.000000,181.000000,0.000000,0.000000,0.417647,0.000000,0.000000,431,0.966237,0.864069,0.000000,0.000000
1450,1612713558.000000,0.133221,283303.500000,181.000000,0.000000,0.000000,0.423529,0.000000,0.000000,431,0.968821,0.882606,0.000000,0.000000
1500,1613035583.000000,0.130272,279496.500000,181.000000,0.000000,0.000000,0.429412,0.000000,0.000000,431,0.967691,0.892589,0.000000,0.000000
