year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4920,8213639,8213639,51106.360242239687,2607986.1550517296,17326
-4919,8235586,8235586,51241.753857775504,2640139.2136112796,17332
-4918,8257086,8257086,51563.482718515865,2672388.9813928581,17339
-4917,8279067,8279067,54863.190428938047,2704791.1083810898,17343
-4916,8299795,8299795,51824.015259663189,2737105.3957774374,17348
-4915,8320838,8320838,51662.301566762508,2769478.0355916354,17358
-4914,8341986,8341986,52026.051859721032,2801943.6753786956,17366
-4913,8363209,8363209,49943.873129781292,2834426.0423360453,17367
-4912,8382866,8382866,56772.435274204327,2867240.7850530543,17374
-4911,8403081,8403081,50104.291530132978,2899762.9328461499,17377
-4910,8423130,8423130,52006.000924136468,2932427.4360917308,17378
-4909,8443437,8443437,51463.32052734201,2965215.9259180254,17381
-4908,8463710,8463710,52191.204940217955,2998005.2534182272,17384
-4907,8484128,8484128,50500.806453543111,3030838.8813471678,17390
-4906,8504120,8504120,53163.459602273724,3063829.5585328802,17396
-4905,8524443,8524443,50573.421412046642,3096775.6643693885,17400
-4904,8544191,8544191,53329.994110955362,3129875.082535387,17406
-4903,8563978,8563978,50643.070303942703,3162941.0683096945,17416
-4902,8584372,8584372,52586.709395706755,3196089.8707679035,17420
-4901,8604777,8604777,51723.181082604482,3229306.5248780656,17423
-4900,8624744,8624744,52873.267325280969,3262562.4340101792,17432
-4899,8647739,8647739,51614.562005983207,3293211.1963378019,17444
-4898,8670223,8670223,50862.752781970972,3323448.4335640236,17454
-4897,8693349,8693349,52000.846978479283,3353807.9580331277,17466
-4896,8716119,8716119,50153.645568013511,3384269.9071859927,17476
-4895,8738722,8738722,55526.195969764718,3415063.2887394815,17486
-4894,8760577,8760577,49351.819499332989,3445206.3497911827,17492
-4893,8782963,8782963,52177.433234652475,3475539.437391194,17507
-4892,8805662,8805662,49525.793107182202,3505905.6498160693,17521
-4891,8828321,8828321,52293.253759261504,3536393.3066389747,17529
-4890,8851009,8851009,49759.943615992488,3566895.9161293269,17544
-4889,8873854,8873854,52667.083816377977,3597523.8173139286,17557
-4888,8896714,8896714,53179.303482458556,3628305.2599412017,17563
-4887,8919633,8919633,52766.653338967801,3658995.2373325634,17570
-4886,8942651,8942651,50072.605760758946,3689727.3439842928,17578
-4885,8965642,8965642,53113.60008249063,3720604.5283478606,17583
-4884,8988651,8988651,50308.996651044945,3751486.9313438707,17588
-4883,9011660,9011660,56354.045546053734,3782625.7187877861,17595
-4882,9034523,9034523,50490.010697185782,3813603.3408459225,17600
-4881,9057447,9057447,53572.757292295973,3844733.2555470034,17602
-4880,9080278,9080278,54117.132084450423,3875969.3976287968,17606
-4879,9103077,9103077,53751.947274643229,3907215.0158477067,17611
-4878,9125733,9125733,54388.088375933141,3938554.5409470373,17618
-4877,9148394,9148394,53876.832218311451,3969935.4018530669,17623
-4876,9170951,9170951,54382.256355199919,4001407.9804360163,17624
-4875,9193448,9193448,54023.232725307098,4032926.3755073464,17634
-4874,9216053,9216053,54799.941240754422,4064601.3850809569,17643
-4873,9238583,9238583,54439.721995787775,4096334.0558849717,17651
-4872,9261090,9261090,55055.382380560732,4128131.5662260302,17655
-4871,9283568,9283568,54690.415691517759,4159980.7713057119,17661
-4870,9306095,9306095,55037.079535108503,4191963.0271786172,17670
-4869,9328592,9328592,54916.698751466101,4224159.9717269335,17674
-4868,9351129,9351129,55377.889275095491,4256464.9612713289,17688
-4867,9373565,9373565,55169.062786361515,4288901.5089942552,17692
-4866,9395816,9395816,56108.231654167212,4321504.3137620371,17694
