year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4865,9418017,9418017,55392.145710201199,4354175.1692902548,17702
-4864,9440362,9440362,56495.344746432442,4386946.5210347772,17708
-4863,9462696,9462696,55760.396336531114,4419801.9640010092,17713
-4862,9484885,9484885,56769.788629593102,4452745.6791085685,17718
-4861,9506843,9506843,55933.841247392571,4485754.6663711416,17722
-4860,9529218,9529218,57250.388788978875,4518827.4759603534,17727
-4859,9551611,9551611,56218.512552346918,4551940.5466139857,17734
-4858,9573937,9573937,57413.197738597912,4585188.510597121,17740
-4857,9596328,9596328,56229.340703038724,4618450.2085163947,17742
-4856,9618767,9618767,57781.288286741925,4651831.907380932,17748
-4855,9641218,9641218,56052.467793637734,4685246.0477330172,17750
-4854,9663704,9663704,54432.701576654777,4718653.8439087272,17752
-4853,9686202,9686202,59607.788150868619,4752315.1649794476,17753
-4852,9708611,9708611,58002.237698467943,4785918.7531733811,17759
-4851,9731101,9731101,56780.090362804855,4819598.4125438416,17761
-4850,9753220,9753220,61593.458266413625,4853465.0396689512,17764
-4849,9775225,9775225,52995.103926768228,4887189.9782657232,17768
-4848,9797216,9797216,58421.985387382214,4921177.2722987169,17774
-4847,9819075,9819075,56933.332210774824,4955143.3841203451,17776
-4846,9841055,9841055,57738.010225767488,4989186.8984553181,17780
-4845,9863118,9863118,53158.390045640364,5023170.107389532,17782
-4844,9885317,9885317,62241.224944315407,5057492.7769740112,17782
-4843,9907412,9907412,53258.602557246057,5091570.3666730421,17784
-4842,9929385,9929385,58101.415048845272,5125884.6797859604,17784
-4841,9951430,9951430,53551.157418156399,5160116.0310196225,17784
-4840,9972835,9972835,60356.88662144851,5194658.8036380075,17784
-4839,9994477,9994477,56004.080081231688,5228978.2649473185,17788
-4838,10016344,10016344,56393.557976185992,5263341.9205944529,17788
-4837,10038176,10038176,57617.3691294741,5297800.3670799034,17788
-4836,10060064,10060064,59275.343913229808,5332419.285861725,17789
-4835,10082877,10082877,53974.095279621601,5366865.7263822146,17789
-4834,10104541,10104541,54892.705394040029,5401451.47330938,17790
-4833,10125755,10125755,63290.744134179098,5436397.5385225397,17791
-4832,10148563,10148563,55124.199961867416,5471052.8437938141,17793
-4831,10169590,10169590,54542.129608663832,5505824.0094023347,17793
-4830,10191116,10191116,57175.157763812531,5540779.8540002117,17794
-4829,10213136,10213136,61503.685319634853,5575667.9048747886,17797
-4828,10234827,10234827,55044.151413675521,5610246.6055156281,17799
-4827,10257227,10257227,56317.330219928299,5645015.1311691413,17799
-4826,10278991,10278991,55369.314550882744,5679857.0902407756,17801
-4825,10301267,10301267,58569.114452729576,5714880.8484543674,17806
-4824,10324282,10324282,55484.319685929746,5749830.3775383169,17808
-4823,10347576,10347576,56714.520729834323,5784943.3914035968,17812
-4822,10371192,10371192,55800.168452822014,5820017.2302816231,17814
-4821,10395127,10395127,55158.328768317311,5855197.4681878742,17818
-4820,10418843,10418843,56165.913250543417,5890518.9779858952,17819
-4819,10443596,10443596,57225.913137478055,5925836.901820031,17823
-4818,10467062,10467062,56019.812772064353,5961145.1305157105,17830
-4817,10490608,10490608,55484.612265779222,5996576.5093882801,17834
-4816,10515338,10515338,56388.601560907155,6032027.2331551192,17837
-4815,10539733,10539733,57758.172225367241,6067705.4546837891,17840
-4814,10564936,10564936,56686.786584368834,6103364.8455285309,17845
-4813,10589215,10589215,56108.984429149394,6139126.5326901209,17849
-4812,10612600,10612600,57003.86835511306,6174882.438786489,17852
-4811,10635255,10635255,56402.688335609062,6210841.0983406762,17858
-4810,10657194,10657194,59244.191995005691,6246911.2557524815,17858
-4809,10678849,10678849,56742.177503505933,6283022.6295230435,17859
-4808,10699411,10699411,57482.282893762873,6319105.2657459574,17860
-4807,10721586,10721586,56917.134458713575,6355332.9970648931,17865
-4806,10744268,10744268,57856.600501168585,6391624.9267118704,17867
-4805,10766376,10766376,57241.769255376268,6428049.6217162907,17871
-4804,10788502,10788502,59958.169339045671,6464599.016451939,17873
-4803,10809471,10809471,57446.290509499173,6501180.6347677829,17876
-4802,10831103,10831103,58303.369544297158,6537805.6531682685,17885
-4801,10851581,10851581,57700.91913388759,6574628.2422441244,17888
-4800,10872206,10872206,58561.550287893559,6611414.8464877969,17892
-4799,10892401,10892401,57952.999337051326,6648408.2016597195,17897
-4798,10913679,10913679,58806.634709069382,6685386.4043770283,17903
-4797,10934161,10934161,60087.210987179977,6722619.7266659196,17909
-4796,10955738,10955738,58931.256427495486,6759698.5606634254,17910
-4795,10976170,10976170,58475.023384962697,6796961.2527345102,17916
-4794,10998187,10998187,59179.62591355019,6834181.4809173476,17921
-4793,11018959,11018959,58656.357733846591,6871615.2298225677,17928
-4792,11040310,11040310,59549.189474530831,6908976.903726344,17931
-4791,11060901,11060901,58966.985450089254,6946543.2017972069,17935
-4790,11082604,11082604,59775.433467885421,6984160.3334519826,17938
-4789,11104015,11104015,59193.174215097548,7021908.9603885822,17942
-4788,11125947,11125947,59801.178779548187,7059624.8857327513,17946
-4787,11148283,11148283,59293.96864453856,7097502.2578098616,17950
-4786,11169615,11169615,60017.111124250965,7135369.5903543355,17954
-4785,11191273,11191273,59451.87603168247,7173381.3740236564,17958
-4784,11213116,11213116,60213.428445064339,7211366.9151174529,17966
-4783,11235292,11235292,59614.926296652135,7249536.1740006888,17971
-4782,11257684,11257684,60579.584133430952,7287716.1855011797,17976
-4781,11280407,11280407,60035.671770515037,7326083.8595959246,17982
-4780,11302621,11302621,60950.816672277193,7364424.1256139399,17991
-4779,11325433,11325433,60294.842359089293,7402945.1304650735,17995
-4778,11347955,11347955,61028.606465434175,7441466.4731352385,18000
-4777,11371012,11371012,60465.409784062322,7480129.2880239198,18005
-4776,11394162,11394162,61193.383129344889,7518740.116900471,18008
-4775,11417929,11417929,60642.154711856034,7557541.4503505193,18014
-4774,11441742,11441742,61607.599982311825,7596305.3531751679,18016
-4773,11465344,11465344,60896.484986888674,7635230.402494031,18019
-4772,11490343,11490343,61817.916963721953,7674147.4004283762,18022
-4771,11515708,11515708,61156.673985786132,7713245.9395802729,18026
-4770,11538501,11538501,62122.886037934622,7752372.11144586,18029
-4769,11560699,11560699,61394.759137407586,7791597.2224543439,18032
-4768,11583780,11583780,62148.772131548751,7830878.7560400758,18038
-4767,11607538,11607538,61572.749528799795,7870261.9433631208,18042
-4766,11630876,11630876,62330.327761107459,7909743.1312383274,18053
-4765,11654749,11654749,61708.460262667279,7949291.055346041,18054
-4764,11679472,11679472,61853.039045837868,7988879.2549142744,18055
-4763,11704054,11704054,62693.789683572206,8028604.119905524,18058
-4762,11727992,11727992,62072.753628070444,8068300.21661733,18062
-4761,11752459,11752459,62276.633210840111,8108164.155785054,18066
-4760,11775958,11775958,62403.27479190645,8148025.1871149326,18068
-4759,11796509,11796509,62440.523468424384,8187885.8599917237,18074
-4758,11816924,11816924,63025.329656498288,8227840.4984008651,18077
-4757,11837010,11837010,62565.437883944491,8267858.7220290145,18079
-4756,11856876,11856876,62425.077769507392,8307933.0395492697,18087
-4755,11876260,11876260,63383.197094145369,8348199.4265615623,18093
-4754,11897652,11897652,62632.61273016932,8388338.6975090317,18098
-4753,11917595,11917595,62872.120193175288,8428720.3725557495,18105
-4752,11937934,11937934,63012.879726782056,8469132.6057534255,18108
-4751,11957518,11957518,63225.312762223373,8509698.4266216401,18112
-4750,11978798,11978798,63257.342140731831,8550295.5520800129,18114
-4749,11999759,11999759,63446.835088092652,8591029.2262197901,18115
-4748,12020947,12020947,63442.522625594196,8631789.0394727271,18118
-4747,12041770,12041770,63669.683215946803,8672685.3653614316,18119
-4746,12062458,12062458,63855.037516139259,8713676.4593267329,18124
-4745,12082584,12082584,64059.9430173703,8754835.6030044314,18129
-4744,12104746,12104746,64106.027352074205,8796015.9173248447,18132
-4743,12125990,12125990,64286.780619601523,8837372.2875323575,18135
-4742,12148698,12148698,65044.942769436428,8878760.5992549676,18141
-4741,12170582,12170582,64475.608325851485,8920221.7359790895,18144
-4740,12193833,12193833,64523.405842146087,8961692.1145412643,18148
-4739,12216245,12216245,64706.336023481737,9003331.3174096961,18148
-4738,12239386,12239386,65481.010191131863,9045046.1333010923,18149
-4737,12261644,12261644,64893.777401543841,9086827.247560339,18152
-4736,12285751,12285751,65079.27581697311,9128629.4817065783,18152
-4735,12309128,12309128,66032.197410043227,9170594.4690652806,18153
-4734,12333231,12333231,64153.389550045868,9212718.8794399463,18156
-4733,12356651,12356651,63626.379107132991,9255190.5612600781,18160
-4732,12378833,12378833,64405.51675228322,9297800.1798351537,18161
-4731,12401460,12401460,63656.029925602175,9340481.1387813333,18166
