year,country_index,country_name,population,stability,legitimacy,avg_control,autonomy_pressure,autonomy_over_years,is_at_war,state_bucket,low_stability,low_legitimacy,critical_state,stable_state,stab_start,stab_after_update,stab_after_budget,stab_after_demog,stab_delta_update,stab_delta_budget,stab_delta_demog,stab_delta_total,stab_delta_war,stab_delta_plague,stab_delta_stagnation,stab_delta_peace_recover,stab_delta_debt,stab_delta_control,stab_delta_demog_stress,stab_shortage_ratio,stab_disease_burden,stab_stagnation_years,stab_dominant_cause,stab_dominant_impact,legit_start,legit_after_economy,legit_after_budget,legit_after_demog,legit_after_culture,legit_end,legit_delta_economy,legit_delta_budget,legit_delta_demog,legit_delta_culture,legit_delta_events,legit_delta_total,legit_budget_shortfall_direct,legit_budget_burden_penalty,legit_budget_drift_stability,legit_budget_drift_tax,legit_budget_drift_control,legit_budget_drift_debt,legit_budget_drift_service,legit_budget_drift_shortfall,legit_budget_drift_plague,legit_budget_drift_war,legit_demog_shortage_ratio,legit_demog_disease_burden,legit_dominant_cause,legit_dominant_impact
-5000,20,Romlorstan Tribe,308051,0.988600,0.641700,0.771900,0.005800,0,0,stable,0,0,0,1,1.000000,1.000000,0.998631,0.998599,0.000000,-0.001369,-0.000032,-0.001401,0.000000,0.000000,0.000000,0.004511,0.000000,-0.001369,-0.000032,0.000000,0.006563,1,control,0.001369,0.606819,0.610759,0.621753,0.621724,0.641724,0.641724,0.003941,0.010994,-0.000029,0.020000,0.000000,0.034905,-0.000000,0.000000,0.013275,-0.000000,-0.002281,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006563,demography,0.000029
-5000,21,Great garmarnastan Tribe,151914,0.998600,0.648300,0.779600,0.005400,0,0,stable,0,0,0,1,1.000000,1.000000,0.998678,0.998646,0.000000,-0.001322,-0.000032,-0.001354,0.000000,0.000000,0.000000,0.004584,0.000000,-0.001322,-0.000032,0.000000,0.006522,1,control,0.001322,0.633610,0.637573,0.648358,0.648329,0.648329,0.648329,0.003962,0.010785,-0.000029,0.000000,0.000000,0.014719,-0.000000,0.000000,0.012989,-0.000000,-0.002204,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006522,demography,0.000029
-5000,22,Old lorkinia Tribe,301333,0.998600,0.621900,0.770200,0.005500,0,0,stable,0,0,0,1,1.000000,1.000000,0.998621,0.998589,0.000000,-0.001379,-0.000032,-0.001411,0.000000,0.000000,0.000000,0.004536,0.000000,-0.001379,-0.000032,0.000000,0.006568,1,control,0.001379,0.604812,0.611055,0.621973,0.621944,0.621944,0.621944,0.006243,0.010918,-0.000029,0.000000,0.000000,0.017133,-0.000000,0.000000,0.013217,-0.000000,-0.002298,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006568,demography,0.000029
-5000,23,Old zenqui Tribe,297855,0.997800,0.603900,0.637800,0.008700,0,0,stable,0,0,0,1,1.000000,1.000000,0.997827,0.997792,0.000000,-0.002173,-0.000035,-0.002208,0.000000,0.000000,0.000000,0.004497,0.000000,-0.002173,-0.000035,0.000000,0.006807,1,control,0.002173,0.591178,0.594620,0.603894,0.603863,0.603863,0.603863,0.003442,0.009274,-0.000031,0.000000,0.000000,0.012685,-0.000000,0.000000,0.012897,-0.000000,-0.003622,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006807,demography,0.000031
-5000,24,Dusviaromstan Tribe,303415,0.998700,0.618500,0.796100,0.005300,0,0,stable,0,0,0,1,1.000000,1.000000,0.998777,0.998745,0.000000,-0.001223,-0.000032,-0.001255,0.000000,0.000000,0.000000,0.004611,0.000000,-0.001223,-0.000032,0.000000,0.006526,1,control,0.001223,0.603522,0.607770,0.618522,0.618494,0.618494,0.618494,0.004249,0.010752,-0.000029,0.000000,0.000000,0.014972,-0.000000,0.000000,0.012791,-0.000000,-0.002039,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006526,demography,0.000029
-5000,25,Old vianagarland Tribe,303310,0.998400,0.641700,0.735200,0.005800,0,0,stable,0,0,0,1,1.000000,1.000000,0.998411,0.998379,0.000000,-0.001589,-0.000033,-0.001621,0.000000,0.000000,0.000000,0.004483,0.000000,-0.001589,-0.000033,0.000000,0.006606,1,control,0.001589,0.623138,0.630951,0.641711,0.641682,0.641682,0.641682,0.007813,0.010760,-0.000029,0.000000,0.000000,0.018543,-0.000000,0.000000,0.013407,-0.000000,-0.002648,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006606,demography,0.000029
-5000,26,New garnavia Tribe,167462,0.998800,0.571200,0.805400,0.005700,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998832,0.998800,0.000000,-0.001168,-0.000032,-0.001200,0.000000,0.000000,0.000000,0.004564,0.000000,-0.001168,-0.000032,0.000000,0.006560,1,control,0.001168,0.556189,0.560091,0.571211,0.571182,0.571182,0.571182,0.003902,0.011120,-0.000029,0.000000,0.000000,0.014994,-0.000000,0.000000,0.013066,-0.000000,-0.001946,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006560,demography,0.000029
-5000,27,New rombelgrad Tribe,302341,0.998400,0.618000,0.745700,0.006400,0,0,stable,0,0,0,1,1.000000,1.000000,0.998474,0.998441,0.000000,-0.001526,-0.000033,-0.001559,0.000000,0.000000,0.000000,0.004534,0.000000,-0.001526,-0.000033,0.000000,0.006610,1,control,0.001526,0.603595,0.607464,0.618009,0.617980,0.617980,0.617980,0.003869,0.010546,-0.000029,0.000000,0.000000,0.014385,-0.000000,0.000000,0.013089,-0.000000,-0.002543,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006610,demography,0.000029
-5000,28,New solranstan Tribe,307942,0.999200,0.649100,0.872500,0.003300,0,0,stable,0,0,0,1,1.000000,1.000000,0.999235,0.999205,0.000000,-0.000765,-0.000030,-0.000795,0.000000,0.000000,0.000000,0.004579,0.000000,-0.000765,-0.000030,0.000000,0.006368,1,control,0.000765,0.631982,0.637083,0.649091,0.649064,0.649064,0.649064,0.005101,0.012008,-0.000027,0.000000,0.000000,0.017082,-0.000000,0.000000,0.013283,-0.000000,-0.001275,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006368,demography,0.000027
-5000,29,Old zenqui Tribe,202706,0.997700,0.587500,0.619100,0.009000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.997715,0.997680,0.000000,-0.002285,-0.000035,-0.002320,0.000000,0.000000,0.000000,0.004410,0.000000,-0.002285,-0.000035,0.000000,0.006861,1,control,0.002285,0.574503,0.578149,0.587562,0.587531,0.587531,0.587531,0.003647,0.009413,-0.000031,0.000000,0.000000,0.013028,-0.000000,0.000000,0.013222,-0.000000,-0.003809,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006861,demography,0.000031
-5000,30,New marlordusstan Tribe,79830,0.998400,0.581000,0.731400,0.007100,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998388,0.998355,0.000000,-0.001612,-0.000033,-0.001645,0.000000,0.000000,0.000000,0.004589,0.000000,-0.001612,-0.000033,0.000000,0.006672,1,control,0.001612,0.566787,0.571014,0.581031,0.581001,0.581001,0.581001,0.004226,0.010017,-0.000030,0.000000,0.000000,0.014214,-0.000000,0.000000,0.012703,-0.000000,-0.002686,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006672,demography,0.000030
-5000,31,New soldusbel Tribe,305439,0.998900,0.623400,0.817300,0.004300,0,0,stable,0,0,0,1,1.000000,1.000000,0.998904,0.998872,0.000000,-0.001096,-0.000031,-0.001128,0.000000,0.000000,0.000000,0.004592,0.000000,-0.001096,-0.000031,0.000000,0.006488,1,control,0.001096,0.604133,0.612269,0.623446,0.623418,0.623418,0.623418,0.008136,0.011177,-0.000028,0.000000,0.000000,0.019285,-0.000000,0.000000,0.013004,-0.000000,-0.001827,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006488,demography,0.000028
-5000,32,Old lorkinsolstan Tribe,252422,0.998100,0.567600,0.682700,0.008000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998096,0.998062,0.000000,-0.001904,-0.000034,-0.001938,0.000000,0.000000,0.000000,0.004472,0.000000,-0.001904,-0.000034,0.000000,0.006767,1,control,0.001904,0.552185,0.557674,0.567621,0.567590,0.567590,0.567590,0.005488,0.009947,-0.000031,0.000000,0.000000,0.015405,-0.000000,0.000000,0.013121,-0.000000,-0.003173,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006767,demography,0.000031
-5000,33,Dusranranstan Tribe,266443,0.998600,0.616300,0.779900,0.005400,0,0,stable,0,0,0,1,1.000000,1.000000,0.998679,0.998647,0.000000,-0.001321,-0.000032,-0.001353,0.000000,0.000000,0.000000,0.004479,0.000000,-0.001321,-0.000032,0.000000,0.006558,1,control,0.001321,0.598774,0.605036,0.616311,0.616282,0.616282,0.616282,0.006262,0.011275,-0.000029,0.000000,0.000000,0.017507,-0.000000,0.000000,0.013476,-0.000000,-0.002201,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006558,demography,0.000029
-5000,34,South ranlinsolia Tribe,176651,0.997800,0.598900,0.633100,0.008800,0,0,mixed,0,0,0,0,1.000000,1.000000,0.997799,0.997764,0.000000,-0.002201,-0.000035,-0.002236,0.000000,0.000000,0.000000,0.004450,0.000000,-0.002201,-0.000035,0.000000,0.006821,1,control,0.002201,0.586231,0.589618,0.598975,0.598944,0.598944,0.598944,0.003387,0.009357,-0.000031,0.000000,0.000000,0.012713,-0.000000,0.000000,0.013026,-0.000000,-0.003669,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006821,demography,0.000031
-5000,35,Great kingaria Tribe,302324,0.998400,0.647000,0.735400,0.006300,0,0,stable,0,0,0,1,1.000000,1.000000,0.998412,0.998380,0.000000,-0.001588,-0.000032,-0.001620,0.000000,0.000000,0.000000,0.004480,0.000000,-0.001588,-0.000032,0.000000,0.006598,1,control,0.001588,0.632405,0.636277,0.647012,0.646983,0.646983,0.646983,0.003872,0.010735,-0.000029,0.000000,0.000000,0.014577,-0.000000,0.000000,0.013381,-0.000000,-0.002646,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006598,demography,0.000029
-5000,36,North dusranmaria Tribe,312738,0.999300,0.626800,0.895200,0.003000,0,0,stable,0,0,0,1,1.000000,1.000000,0.999371,0.999341,0.000000,-0.000629,-0.000030,-0.000659,0.000000,0.000000,0.000000,0.004578,0.000000,-0.000629,-0.000030,0.000000,0.006354,1,control,0.000629,0.609114,0.614578,0.626871,0.626843,0.626843,0.626843,0.005465,0.012293,-0.000027,0.000000,0.000000,0.017730,-0.000000,0.000000,0.013340,-0.000000,-0.001048,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006354,demography,0.000027
-5000,37,New belgargar Tribe,297951,0.997600,0.661200,0.603800,0.008300,0,0,stable,0,0,0,1,1.000000,1.000000,0.997623,0.997588,0.000000,-0.002377,-0.000035,-0.002412,0.000000,0.000000,0.000000,0.004480,0.000000,-0.002377,-0.000035,0.000000,0.006814,1,control,0.002377,0.648655,0.652257,0.661196,0.661165,0.661165,0.661165,0.003602,0.008939,-0.000031,0.000000,0.000000,0.012510,-0.000000,0.000000,0.012901,-0.000000,-0.003962,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006814,demography,0.000031
-5000,38,Viagarlinstan Tribe,295289,0.998700,0.563800,0.788400,0.006000,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998731,0.998698,0.000000,-0.001269,-0.000032,-0.001302,0.000000,0.000000,0.000000,0.004543,0.000000,-0.001269,-0.000032,0.000000,0.006595,1,control,0.001269,0.548293,0.552877,0.563780,0.563751,0.563751,0.563751,0.004584,0.010903,-0.000029,0.000000,0.000000,0.015458,-0.000000,0.000000,0.013019,-0.000000,-0.002116,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006595,demography,0.000029
-5000,39,Old lorranviagrad Tribe,301255,0.998800,0.674600,0.811700,0.004300,0,0,stable,0,0,0,1,1.000000,1.000000,0.998870,0.998839,0.000000,-0.001130,-0.000031,-0.001161,0.000000,0.000000,0.000000,0.004576,0.000000,-0.001130,-0.000031,0.000000,0.006438,1,control,0.001130,0.658721,0.663333,0.674608,0.674580,0.674580,0.674580,0.004611,0.011275,-0.000028,0.000000,0.000000,0.015859,-0.000000,0.000000,0.013158,-0.000000,-0.001883,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006438,demography,0.000028
-5000,40,North ranternaland Tribe,176370,0.988100,0.645200,0.689100,0.007500,0,0,stable,0,0,0,1,1.000000,1.000000,0.998135,0.998101,0.000000,-0.001865,-0.000033,-0.001899,0.000000,0.000000,0.000000,0.004515,0.000000,-0.001865,-0.000033,0.000000,0.006691,1,control,0.001865,0.611331,0.615276,0.625205,0.625175,0.645175,0.645175,0.003945,0.009929,-0.000030,0.020000,0.000000,0.033844,-0.000000,0.000000,0.013038,-0.000000,-0.003109,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006691,demography,0.000030
-5000,41,South viabelzen Tribe,305372,0.998900,0.561400,0.816000,0.005500,0,0,mixed,0,0,0,0,1.000000,1.000000,0.998896,0.998864,0.000000,-0.001104,-0.000032,-0.001136,0.000000,0.000000,0.000000,0.004547,0.000000,-0.001104,-0.000032,0.000000,0.006548,1,control,0.001104,0.545720,0.550075,0.561394,0.561365,0.561365,0.561365,0.004355,0.011319,-0.000029,0.000000,0.000000,0.015645,-0.000000,0.000000,0.013159,-0.000000,-0.001840,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.006548,demography,0.000029
