year,worldPopulation,urbanShare,medianCountryPop,medianCountryArea,warFrequencyPerCentury,tradeIntensity,capabilityTier1Share,capabilityTier2Share,capabilityTier3Share,collapseCount,foodSecurityMean,foodSecurityP10,diseaseBurdenMean,diseaseBurdenP90
-2050,547436129.000000,0.092714,123043.500000,214.500000,0.000000,0.000000,0.113924,0.000000,0.000000,290,0.966767,0.903360,0.000000,0.000000
-2000,554706417.000000,0.093005,117261.000000,216.500000,0.000000,0.000000,0.113924,0.000000,0.000000,290,0.969383,0.907369,0.000000,0.000000
-1950,560214480.000000,0.093903,124496.000000,216.500000,0.000000,0.000000,0.113924,0.000000,0.000000,290,0.966382,0.909499,0.000000,0.000000
-1900,565760559.000000,0.095278,107430.000000,216.000000,0.000000,0.000000,0.113208,0.000000,0.000000,293,0.965386,0.909092,0.000000,0.000000
-1850,577031497.000000,0.095719,113889.000000,216.000000,0.000000,0.000000,0.125786,0.000000,0.000000,293,0.975272,0.926252,0.000000,0.000000
-1800,582630522.000000,0.096111,109811.500000,214.500000,0.000000,0.000000,0.125000,0.000000,0.000000,298,0.972171,0.919149,0.000000,0.000000
-1750,587138151.000000,0.095510,114898.000000,214.500000,0.000000,0.000000,0.125000,0.000000,0.000000,298,0.961647,0.901358,0.000000,0.000000
-1700,591535739.000000,0.095715,117212.000000,213.000000,0.000000,0.000000,0.130435,0.000000,0.000000,303,0.969546,0.910967,0.000000,0.000000
-1650,599759494.000000,0.098341,106157.000000,213.000000,0.000000,0.000000,0.136646,0.000000,0.000000,303,0.969387,0.910978,0.000000,0.000000
-1600,603448412.000000,0.099518,109124.000000,213.000000,0.000000,0.000000,0.136646,0.000000,0.000000,303,0.970694,0.917692,0.000000,0.000000
-1550,614686152.000000,0.101054,131619.000000,213.000000,0.000000,0.000000,0.142857,0.000000,0.000000,303,0.974441,0.924075,0.000000,0.000000
-1500,620695003.000000,0.101630,115489.000000,211.500000,0.000000,0.000000,0.148148,0.000000,0.000000,305,0.971021,0.905927,0.000000,0.000000
-1450,625945832.000000,0.101745,108725.000000,211.500000,0.000000,0.000000,0.148148,0.000000,0.000000,305,0.968466,0.916622,0.000000,0.000000
-1400,626688463.000000,0.100913,111566.000000,213.000000,0.000000,0.000000,0.159509,0.000000,0.000000,310,0.964177,0.899426,0.000000,0.000000
-1350,634642094.000000,0.103045,114784.000000,213.000000,0.000000,0.000000,0.159509,0.000000,0.000000,310,0.968437,0.903546,0.000000,0.000000
-1300,642499214.000000,0.104421,108796.000000,208.000000,0.000000,0.000000,0.157576,0.000000,0.000000,318,0.973386,0.916187,0.000000,0.000000
-1250,647303572.000000,0.104229,125204.000000,208.000000,0.000000,0.000000,0.167665,0.000000,0.000000,321,0.971200,0.906756,0.000000,0.000000
-1200,652727754.000000,0.103866,117611.000000,208.000000,0.000000,0.000000,0.173653,0.000000,0.000000,323,0.970844,0.917328,0.000000,0.000000
-1150,658334099.000000,0.105460,116457.000000,208.000000,0.000000,0.000000,0.173653,0.000000,0.000000,323,0.968632,0.907208,0.000000,0.000000
-1100,664711947.000000,0.106132,113592.500000,208.000000,0.000000,0.000000,0.178571,0.000000,0.000000,327,0.969679,0.910661,0.000000,0.000000
-1050,668689223.000000,0.106302,107188.000000,207.000000,0.000000,0.000000,0.183432,0.000000,0.000000,331,0.973282,0.909265,0.000000,0.000000
-1000,664757627.000000,0.105825,108973.000000,207.000000,0.000000,0.000000,0.189349,0.000000,0.000000,331,0.974134,0.912718,0.000000,0.000000
-950,676091898.000000,0.109150,115901.000000,207.000000,0.000000,0.000000,0.195266,0.000000,0.000000,331,0.970146,0.915484,0.000000,0.000000
-900,684732256.000000,0.109677,116307.000000,206.000000,0.000000,0.000000,0.200000,0.000000,0.000000,334,0.972287,0.912417,0.000000,0.000000
-850,690961607.000000,0.110650,114841.000000,206.000000,0.000000,0.000000,0.200000,0.000000,0.000000,334,0.970666,0.902792,0.000000,0.000000
-800,696160757.000000,0.110725,108160.500000,206.000000,0.000000,0.000000,0.200000,0.000000,0.000000,334,0.969552,0.914451,0.000000,0.000000
-750,698848863.000000,0.110117,111897.000000,206.000000,0.000000,0.000000,0.200000,0.000000,0.000000,334,0.969508,0.909677,0.000000,0.000000
-700,699893126.000000,0.111530,123187.000000,204.000000,0.000000,0.000000,0.210526,0.000000,0.000000,335,0.974872,0.923553,0.000000,0.000000
-650,707174998.000000,0.113092,114026.000000,204.500000,0.000000,0.000000,0.215116,0.000000,0.000000,340,0.973605,0.918984,0.000000,0.000000
-600,712564354.000000,0.114375,106754.500000,204.500000,0.000000,0.000000,0.220930,0.000000,0.000000,340,0.976200,0.919549,0.000000,0.000000
-550,715671133.000000,0.114981,115013.500000,204.500000,0.000000,0.000000,0.220930,0.000000,0.000000,340,0.973968,0.913543,0.000000,0.000000
-500,719659532.000000,0.115736,105438.000000,204.500000,0.000000,0.000000,0.220930,0.000000,0.000000,340,0.966338,0.899558,0.000000,0.000000
-450,720843418.000000,0.115865,109810.500000,204.500000,0.000000,0.000000,0.220930,0.000000,0.000000,340,0.968125,0.898262,0.000000,0.000000
-400,726795407.000000,0.116515,109493.500000,204.500000,0.000000,0.000000,0.220930,0.000000,0.000000,340,0.969781,0.890261,0.000000,0.000000
-350,732199963.000000,0.118745,111017.000000,204.000000,0.000000,0.000000,0.231214,0.000000,0.000000,345,0.971911,0.917365,0.000000,0.000000
-300,738847705.000000,0.118624,106496.000000,204.000000,0.000000,0.000000,0.236994,0.000000,0.000000,345,0.973441,0.918454,0.000000,0.000000
-250,739148025.000000,0.119495,104220.000000,204.000000,0.000000,0.000000,0.236994,0.000000,0.000000,345,0.971199,0.910117,0.000000,0.000000
-200,746369465.000000,0.121585,110085.000000,204.000000,0.000000,0.000000,0.236994,0.000000,0.000000,345,0.971234,0.904976,0.000000,0.000000
-150,748604989.000000,0.121994,108988.000000,204.000000,0.000000,0.000000,0.248555,0.000000,0.000000,345,0.973515,0.920142,0.000000,0.000000
-100,746384071.000000,0.120250,109930.500000,203.000000,0.000000,0.000000,0.261364,0.000000,0.000000,351,0.967028,0.901440,0.000000,0.000000
-50,752308470.000000,0.122407,106620.500000,203.000000,0.000000,0.000000,0.255682,0.000000,0.000000,353,0.972140,0.916730,0.000000,0.000000
0,753952020.000000,0.120926,99969.500000,203.000000,0.000000,0.000000,0.255682,0.000000,0.000000,353,0.973359,0.914189,0.000000,0.000000
50,753630553.000000,0.124027,104484.500000,203.000000,0.000000,0.000000,0.261364,0.000000,0.000000,353,0.972774,0.913574,0.000000,0.000000
100,755644909.000000,0.123689,94744.000000,202.500000,0.000000,0.000000,0.275281,0.000000,0.000000,361,0.971872,0.900090,0.000000,0.000000
150,760157664.000000,0.125365,97220.000000,202.000000,0.000000,0.000000,0.268156,0.000000,0.000000,365,0.974226,0.920045,0.000000,0.000000
200,764005674.000000,0.126711,88493.000000,202.000000,0.000000,0.000000,0.262570,0.000000,0.000000,365,0.974281,0.921037,0.000000,0.000000
250,764664743.000000,0.125008,93157.000000,202.000000,0.000000,0.000000,0.262570,0.000000,0.000000,365,0.972297,0.902986,0.000000,0.000000
300,772307526.000000,0.127544,91456.500000,201.500000,0.000000,0.000000,0.277778,0.000000,0.000000,366,0.976134,0.920330,0.000000,0.000000
350,776120230.000000,0.127956,90632.000000,201.500000,0.000000,0.000000,0.280220,0.000000,0.000000,375,0.973011,0.915569,0.000000,0.000000
400,778460867.000000,0.127578,88439.000000,201.500000,0.000000,0.000000,0.280220,0.000000,0.000000,375,0.975088,0.913768,0.000000,0.000000
450,782990993.000000,0.128869,81240.000000,201.500000,0.000000,0.000000,0.285714,0.000000,0.000000,375,0.975289,0.917731,0.000000,0.000000
500,783192916.000000,0.129705,85911.000000,201.500000,0.000000,0.000000,0.291209,0.000000,0.000000,375,0.976495,0.922436,0.000000,0.000000
550,790157639.000000,0.129655,93292.500000,201.500000,0.000000,0.000000,0.302198,0.000000,0.000000,375,0.973666,0.912197,0.000000,0.000000
600,792211155.000000,0.128345,92325.500000,201.500000,0.000000,0.000000,0.302198,0.000000,0.000000,375,0.976668,0.921351,0.000000,0.000000
650,796470545.000000,0.124512,92641.000000,201.500000,0.000000,0.000000,0.324176,0.000000,0.000000,375,0.975370,0.915750,0.000000,0.000000
700,790245900.000000,0.121870,83185.500000,201.500000,0.000000,0.000000,0.329670,0.000000,0.000000,375,0.975249,0.915642,0.000000,0.000000
750,792850799.000000,0.121040,84303.500000,201.500000,0.000000,0.000000,0.335165,0.000000,0.000000,375,0.973566,0.905708,0.000000,0.000000
800,790802036.000000,0.122662,85274.000000,202.000000,0.000000,0.000000,0.338798,0.000000,0.000000,379,0.978476,0.924904,0.000000,0.000000
850,798105318.000000,0.122449,76599.000000,202.000000,0.000000,0.000000,0.338798,0.000000,0.000000,379,0.975373,0.913791,0.000000,0.000000
900,799693620.000000,0.121463,79544.000000,202.000000,0.000000,0.000000,0.344262,0.000000,0.000000,379,0.975315,0.914688,0.000000,0.000000
950,804731390.000000,0.123820,78273.500000,202.000000,0.000000,0.000000,0.347826,0.000000,0.000000,381,0.978057,0.920271,0.000000,0.000000
1000,802317237.000000,0.123444,78743.000000,202.000000,0.000000,0.000000,0.351351,0.000000,0.000000,383,0.972736,0.910313,0.000000,0.000000
1050,802379439.000000,0.124348,78726.000000,202.000000,0.000000,0.000000,0.356757,0.000000,0.000000,383,0.975616,0.910025,0.000000,0.000000
1100,808602919.000000,0.124638,76823.000000,202.000000,0.000000,0.000000,0.365591,0.000000,0.000000,386,0.977228,0.918329,0.000000,0.000000
1150,814372074.000000,0.126348,74346.500000,202.000000,0.000000,0.000000,0.365591,0.000000,0.000000,386,0.977274,0.915372,0.000000,0.000000
1200,818576376.000000,0.127230,80464.500000,202.000000,0.000000,0.000000,0.377660,0.000000,0.000000,388,0.978329,0.919788,0.000000,0.000000
1250,821964627.000000,0.124720,89682.000000,202.000000,0.000000,0.000000,0.386243,0.000000,0.000000,400,0.972654,0.908242,0.000000,0.000000
1300,827041417.000000,0.127448,85376.000000,202.000000,0.000000,0.000000,0.391534,0.000000,0.000000,400,0.976582,0.919121,0.000000,0.000000
1350,831374553.000000,0.127168,79750.000000,202.000000,0.000000,0.000000,0.402116,0.000000,0.000000,400,0.970829,0.905337,0.000000,0.000000
1400,835866544.000000,0.128462,83751.000000,202.000000,0.000000,0.000000,0.402116,0.000000,0.000000,400,0.974383,0.912170,0.000000,0.000000
1450,841025296.000000,0.129285,81319.000000,202.000000,0.000000,0.000000,0.418848,0.000000,0.000000,406,0.976819,0.919799,0.000000,0.000000
1500,837487103.000000,0.128316,82506.000000,202.000000,0.000000,0.000000,0.424870,0.000000,0.000000,412,0.975997,0.917033,0.000000,0.000000
1550,845118591.000000,0.129157,84067.000000,202.000000,0.000000,0.000000,0.430769,0.000000,0.000000,416,0.976249,0.915940,0.000000,0.000000
1600,850051775.000000,0.130004,84169.000000,202.000000,0.000000,0.000000,0.441026,0.000000,0.000000,416,0.973677,0.911962,0.000000,0.000000
1650,851858490.000000,0.129708,97870.000000,201.500000,0.000000,0.000000,0.448980,0.000000,0.000000,419,0.975182,0.916886,0.000000,0.000000
1700,853212224.000000,0.131545,101896.000000,202.000000,0.000000,0.000000,0.456853,0.000000,0.000000,421,0.975273,0.916115,0.000000,0.000000
1750,851768821.000000,0.131564,99209.500000,200.000000,0.000000,0.000000,0.464646,0.000000,0.000000,423,0.972190,0.909571,0.000000,0.000000
1800,861983637.000000,0.132021,92124.000000,199.000000,0.000000,0.000000,0.487437,0.000000,0.000000,427,0.976104,0.917963,0.000000,0.000000
1850,869573203.000000,0.132881,102392.000000,199.000000,0.000000,0.000000,0.487437,0.000000,0.000000,427,0.976080,0.918708,0.000000,0.000000
1900,876169075.000000,0.133270,104356.000000,196.500000,0.000000,0.000000,0.490000,0.000000,0.000000,429,0.973062,0.913202,0.000000,0.000000
1950,879188507.000000,0.132623,101585.000000,196.500000,0.000000,0.000000,0.490000,0.000000,0.000000,429,0.973670,0.906506,0.000000,0.000000
2000,882991272.000000,0.133735,88793.000000,194.000000,0.000000,0.000000,0.502488,0.000000,0.000000,431,0.972611,0.902398,0.000000,0.000000
2025,882731118.000000,0.134832,98797.000000,194.000000,0.000000,0.000000,0.502488,0.000000,0.000000,431,0.977253,0.915803,0.000000,0.000000
